step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
205.0,13,517.0,23.5,3.2267321254871506,6,166.0,0.13156070798581135,7,353.0,0.12342047181607849,13,519.0
210.0,14,582.0,26.454545454545453,3.3542495166022124,6,199.0,0.1336435356718181,7,394.0,0.21299763464400917,13,593.0
215.0,7,203.0,8.826086956521738,4.779271457001469,3,147.0,0.21639652584313165,4,174.0,0.3264112062191959,7,321.0
220.0,4,98.0,4.454545454545454,6.05259745741526,0,74.0,0.5264176548000586,4,101.0,0.19919489930081807,4,175.0
225.0,6,127.0,5.08,7.250885040102979,0,0.0,1.0,6,130.0,0.3664774455417461,6,130.0
230.0,7,159.0,6.625,6.3433459584158784,0,0.0,1.0,7,162.0,0.32674468852359057,7,162.0
235.0,11,205.0,9.761904761904763,4.201774025243422,0,0.0,0.8427029050967046,11,208.0,0.16382903556419134,11,208.0
240.0,9,172.0,7.818181818181818,4.0710230307794015,1,1.0,0.19905146696726495,7,200.0,0.20205618158010277,8,201.0
245.0,8,203.0,9.227272727272727,6.537789523170957,1,9.0,0.722133359739965,6,197.0,0.0,7,206.0
250.0,7,238.0,10.347826086956522,7.297362223474528,1,14.0,0.6748063780541982,6,227.0,0.10219717175058249,7,241.0
255.0,8,274.0,11.91304347826087,5.229896238332915,2,20.0,0.2427640740109069,6,257.0,0.0,8,277.0
260.0,10,318.0,15.9,4.362084103273067,4,31.0,0.2247410675590835,6,287.0,0.0322179030382832,10,318.0
265.0,14,374.0,18.7,2.8074312278502527,6,54.0,0.00039458733862233667,7,320.0,3.87579527387826e-05,13,374.0
270.0,14,439.0,21.95,2.9774791955674544,6,84.0,0.1355712355966957,7,355.0,0.12251180271847646,13,439.0
275.0,11,470.0,21.363636363636363,3.059111303767692,4,95.0,0.030507341422759158,7,390.0,0.10381496700561013,11,485.0
280.0,11,409.0,17.041666666666668,4.805751432248477,4,88.0,0.22548946048904636,6,372.0,0.1857508898443136,10,460.0
285.0,10,390.0,13.928571428571429,5.608243969399106,4,111.0,0.3225223053404968,5,304.0,0.3286848274781753,9,415.0
290.0,14,444.0,14.32258064516129,4.9757232799545195,4,131.0,0.45642830387387,8,319.0,0.1211421166462211,12,450.0
295.0,16,512.0,14.628571428571428,4.7859298214407335,5,152.0,0.3972087535889288,11,366.0,0.1304522886300044,16,518.0
300.0,15,490.0,14.0,4.98330724569654,3,67.0,0.33973483453350944,12,426.0,0.23183115082139202,15,493.0
305.0,16,567.0,15.324324324324325,5.47496864321245,4,84.0,0.40025477377604496,12,489.0,0.10816807413456361,16,573.0
